occurrenceID,measurementID,measurementType,measurementTypeID,measurementValue,measurementValueID,measurementUnit,measurementUnitID
Hakai_phyto_QU39_2020-01-08_5m_22,Hakai_phyto_QU39_2020-01-08_5m_22_1,Abundance of phytoplankton,http://vocab.nerc.ac.uk/collection/P01/current/PU00M00Z/,40,NA,Number per litre,http://vocab.nerc.ac.uk/collection/P06/current/UCPL/
Hakai_phyto_QU39_2020-01-08_5m_23,Hakai_phyto_QU39_2020-01-08_5m_23_1,Abundance of phytoplankton,http://vocab.nerc.ac.uk/collection/P01/current/PU00M00Z/,80,NA,Number per litre,http://vocab.nerc.ac.uk/collection/P06/current/UCPL/
Hakai_phyto_QU39_2020-01-08_5m_24,Hakai_phyto_QU39_2020-01-08_5m_24_1,Abundance of phytoplankton,http://vocab.nerc.ac.uk/collection/P01/current/PU00M00Z/,40,NA,Number per litre,http://vocab.nerc.ac.uk/collection/P06/current/UCPL/
Hakai_phyto_QU39_2020-01-08_5m_24,Hakai_phyto_QU39_2020-01-08_5m_24_2,lifeStage,http://vocab.nerc.ac.uk/collection/P01/current/LSTAGE01/,resting spores,http://vocab.nerc.ac.uk/collection/S11/current/S1134/,NA,NA
Hakai_phyto_QU39_2020-01-08_5m_25,Hakai_phyto_QU39_2020-01-08_5m_25_1,Abundance of phytoplankton,http://vocab.nerc.ac.uk/collection/P01/current/PU00M00Z/,120,NA,Number per litre,http://vocab.nerc.ac.uk/collection/P06/current/UCPL/
Hakai_phyto_QU39_2020-01-08_5m_26,Hakai_phyto_QU39_2020-01-08_5m_26_1,Abundance of phytoplankton,http://vocab.nerc.ac.uk/collection/P01/current/PU00M00Z/,80,NA,Number per litre,http://vocab.nerc.ac.uk/collection/P06/current/UCPL/
Hakai_phyto_QU39_2020-01-08_5m_27,Hakai_phyto_QU39_2020-01-08_5m_27_1,Abundance of phytoplankton,http://vocab.nerc.ac.uk/collection/P01/current/PU00M00Z/,40,NA,Number per litre,http://vocab.nerc.ac.uk/collection/P06/current/UCPL/
Hakai_phyto_QU39_2020-01-08_5m_28,Hakai_phyto_QU39_2020-01-08_5m_28_1,Abundance of phytoplankton,http://vocab.nerc.ac.uk/collection/P01/current/PU00M00Z/,40,NA,Number per litre,http://vocab.nerc.ac.uk/collection/P06/current/UCPL/
Hakai_phyto_QU39_2020-01-08_5m_28,Hakai_phyto_QU39_2020-01-08_5m_28_2,lifeStage,http://vocab.nerc.ac.uk/collection/P01/current/LSTAGE01/,nauplii,http://vocab.nerc.ac.uk/collection/S11/current/S1130/,NA,NA
Hakai_phyto_QU39_2020-01-08_5m_29,Hakai_phyto_QU39_2020-01-08_5m_29_1,Abundance of phytoplankton,http://vocab.nerc.ac.uk/collection/P01/current/PU00M00Z/,141750,NA,Number per litre,http://vocab.nerc.ac.uk/collection/P06/current/UCPL/
Hakai_phyto_QU39_2020-01-08_5m_30,Hakai_phyto_QU39_2020-01-08_5m_30_1,Abundance of phytoplankton,http://vocab.nerc.ac.uk/collection/P01/current/PU00M00Z/,240,NA,Number per litre,http://vocab.nerc.ac.uk/collection/P06/current/UCPL/
Hakai_phyto_QU39_2020-01-08_5m_31,Hakai_phyto_QU39_2020-01-08_5m_31_1,Abundance of phytoplankton,http://vocab.nerc.ac.uk/collection/P01/current/PU00M00Z/,4140,NA,Number per litre,http://vocab.nerc.ac.uk/collection/P06/current/UCPL/
Hakai_phyto_QU39_2020-01-08_5m_32,Hakai_phyto_QU39_2020-01-08_5m_32_1,Abundance of phytoplankton,http://vocab.nerc.ac.uk/collection/P01/current/PU00M00Z/,240,NA,Number per litre,http://vocab.nerc.ac.uk/collection/P06/current/UCPL/
Hakai_phyto_QU39_2020-01-08_5m_33,Hakai_phyto_QU39_2020-01-08_5m_33_1,Abundance of phytoplankton,http://vocab.nerc.ac.uk/collection/P01/current/PU00M00Z/,3500,NA,Number per litre,http://vocab.nerc.ac.uk/collection/P06/current/UCPL/
